epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time
1,0.5523,0.8319,0.2257,0.9323,0.001,4.7
2,0.2148,0.9349,0.1634,0.95,0.001,4.01
3,0.1623,0.9509,0.1306,0.9587,0.001,3.97
4,0.1304,0.9606,0.1085,0.9678,0.001,4.02
5,0.1085,0.9673,0.0986,0.9693,0.001,3.68
6,0.0941,0.971,0.0942,0.9718,0.001,3.96
7,0.0839,0.9745,0.0846,0.9742,0.001,3.66
8,0.0762,0.9757,0.0859,0.9753,0.001,3.63
9,0.0693,0.9786,0.0791,0.9773,0.001,3.81
10,0.0633,0.9807,0.0781,0.9783,0.001,3.72
11,0.0585,0.9814,0.0741,0.9787,0.001,3.74
12,0.0537,0.9827,0.0726,0.978,0.001,3.78
13,0.0474,0.9847,0.0685,0.981,0.001,3.71
14,0.0447,0.9854,0.0687,0.9805,0.001,3.66
15,0.0408,0.9866,0.0713,0.98,0.001,3.78
16,0.0422,0.9867,0.0703,0.98,0.001,3.67
17,0.0415,0.9864,0.0741,0.9792,0.0005,3.87
18,0.0315,0.9899,0.0685,0.9805,0.0005,3.67
19,0.0278,0.9913,0.0653,0.9822,0.0005,3.77
20,0.0263,0.9915,0.0676,0.9822,0.0005,3.63
